"JURISDICTION","LOCATION","AGE_GROUP","BEST_DETECTION_METHOD","DETECTION_METHOD","AMPHETAMINE","CANNABIS","ECSTASY","NO_DRUGS_DETECTED","COUNT","YEAR"
"VIC","Major Cities of Australia","65 and over","Yes","Indicator (Stage 1)","No","Yes","No","Not applicable",1,2023
"VIC","Outer Regional Australia","17-25","Yes","Indicator (Stage 1)","No","Yes","No","Not applicable",2,2023
"VIC","Outer Regional Australia","17-25","Yes","Indicator (Stage 1)","Yes","No","No","Not applicable",2,2023
"VIC","Outer Regional Australia","17-25","Yes","Indicator (Stage 1)","Yes","Yes","No","Not applicable",1,2023
"VIC","Outer Regional Australia","26-39","Yes","Indicator (Stage 1)","No","Yes","No","Not applicable",5,2023
"VIC","Outer Regional Australia","26-39","Yes","Indicator (Stage 1)","Yes","No","No","Not applicable",12,2023
"VIC","Outer Regional Australia","26-39","Yes","Indicator (Stage 1)","Yes","Yes","No","Not applicable",3,2023
"VIC","Outer Regional Australia","40-64","Yes","Indicator (Stage 1)","No","Yes","No","Not applicable",5,2023
"VIC","Outer Regional Australia","40-64","Yes","Indicator (Stage 1)","Yes","No","No","Not applicable",11,2023
"VIC","Outer Regional Australia","40-64","Yes","Indicator (Stage 1)","Yes","No","Yes","Not applicable",1,2023
"VIC","Outer Regional Australia","40-64","Yes","Indicator (Stage 1)","Yes","Yes","No","Not applicable",3,2023
"VIC","Outer Regional Australia","65 and over","Yes","Indicator (Stage 1)","Yes","No","No","Not applicable",1,2023
"WA","Unknown","0-16","Yes","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",0,2023
"WA","Unknown","17-25","Yes","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",0,2023
"WA","Unknown","26-39","Yes","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",0,2023
"WA","Unknown","40-64","Yes","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",0,2023
"WA","Unknown","65 and over","Yes","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",0,2023
"WA","Unknown","Unknown","No","Indicator (Stage 1)","No","Yes","No","No",124,2023
"WA","Unknown","Unknown","No","Indicator (Stage 1)","Yes","No","No","No",279,2023
"WA","Unknown","Unknown","No","Indicator (Stage 1)","Yes","Yes","No","No",58,2023
"WA","Unknown","Unknown","No","Secondary Confirmatory (Stage 2)","No","No","No","Yes",30,2023
"WA","Unknown","Unknown","No","Secondary Confirmatory (Stage 2)","No","No","No","No",2,2023
"WA","Unknown","Unknown","No","Secondary Confirmatory (Stage 2)","No","Yes","No","No",115,2023
"WA","Unknown","Unknown","No","Secondary Confirmatory (Stage 2)","Yes","No","No","No",254,2023
"WA","Unknown","Unknown","No","Secondary Confirmatory (Stage 2)","Yes","Yes","No","No",64,2023
"WA","Unknown","Unknown","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Yes",27,2023
"WA","Unknown","Unknown","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","No",102,2023
"WA","Unknown","Unknown","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","No",225,2023
"WA","Unknown","Unknown","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","Yes","No",2,2023
"WA","Unknown","Unknown","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","No",76,2023
"WA","Unknown","Unknown","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","Yes","No",1,2023
"ACT","Major Cities of Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","No","Not applicable","Not applicable",2,2023
"ACT","Major Cities of Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","Not applicable","Not applicable",2,2023
"ACT","Major Cities of Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","Not applicable","Not applicable",1,2023
"ACT","Major Cities of Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","Not applicable","Not applicable",1,2023
"ACT","Major Cities of Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","No","No","Not applicable","Not applicable",3,2023
"ACT","Major Cities of Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","Not applicable","Not applicable",2,2023
"ACT","Major Cities of Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","Not applicable","Not applicable",1,2023
"ACT","Major Cities of Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","No","No","Not applicable","Not applicable",1,2023
"NSW","Inner Regional Australia","0-16","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",1,2023
"NSW","Inner Regional Australia","0-16","No","Secondary Confirmatory (Stage 2)","No","Yes","Not applicable","Not applicable",1,2023
"NSW","Inner Regional Australia","0-16","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",1,2023
"NSW","Inner Regional Australia","17-25","No","Indicator (Stage 1)","No","No","Not applicable","Not applicable",7,2023
"NSW","Inner Regional Australia","17-25","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",99,2023
"NSW","Inner Regional Australia","17-25","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",5,2023
"NSW","Inner Regional Australia","17-25","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",29,2023
"NSW","Inner Regional Australia","17-25","No","Indicator (Stage 1)","Yes","Yes","Not applicable","Not applicable",16,2023
"NSW","Inner Regional Australia","17-25","No","Indicator (Stage 1)","Yes","Yes","Not applicable","Not applicable",1,2023
"NSW","Inner Regional Australia","17-25","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",35,2023
"NSW","Inner Regional Australia","17-25","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",1,2023
"NSW","Inner Regional Australia","17-25","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",2,2023
"NSW","Inner Regional Australia","17-25","No","Secondary Confirmatory (Stage 2)","No","Yes","Not applicable","Not applicable",64,2023
"NSW","Inner Regional Australia","17-25","No","Secondary Confirmatory (Stage 2)","No","Yes","Not applicable","Not applicable",4,2023
"NSW","Inner Regional Australia","17-25","No","Secondary Confirmatory (Stage 2)","Yes","No","Not applicable","Not applicable",26,2023
"NSW","Inner Regional Australia","17-25","No","Secondary Confirmatory (Stage 2)","Yes","No","Not applicable","Not applicable",2,2023
"NSW","Inner Regional Australia","17-25","No","Secondary Confirmatory (Stage 2)","Yes","Yes","Not applicable","Not applicable",22,2023
"NSW","Inner Regional Australia","17-25","No","Secondary Confirmatory (Stage 2)","Yes","Yes","Not applicable","Not applicable",1,2023
"NSW","Inner Regional Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Not applicable",2,2023
"NSW","Inner Regional Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Not applicable",3,2023
"NSW","Inner Regional Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",90,2023
"NSW","Inner Regional Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","Yes","Not applicable",4,2023
"NSW","Inner Regional Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",3,2023
"NSW","Inner Regional Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",25,2023
"NSW","Inner Regional Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","Yes","Not applicable",2,2023
"NSW","Inner Regional Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",1,2023
"NSW","Inner Regional Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Not applicable",24,2023
"NSW","Inner Regional Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Not applicable",3,2023
"NSW","Inner Regional Australia","26-39","No","Indicator (Stage 1)","No","No","Not applicable","Not applicable",14,2023
"NSW","Inner Regional Australia","26-39","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",126,2023
"NSW","Inner Regional Australia","26-39","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",4,2023
"NSW","Inner Regional Australia","26-39","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",161,2023
"NSW","Inner Regional Australia","26-39","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",3,2023
"NSW","Inner Regional Australia","26-39","No","Indicator (Stage 1)","Yes","Yes","Not applicable","Not applicable",49,2023
"NSW","Inner Regional Australia","26-39","No","Indicator (Stage 1)","Yes","Yes","Not applicable","Not applicable",1,2023
"NSW","Inner Regional Australia","26-39","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",33,2023
"NSW","Inner Regional Australia","26-39","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",2,2023
"NSW","Inner Regional Australia","26-39","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",8,2023
"NSW","Inner Regional Australia","26-39","No","Secondary Confirmatory (Stage 2)","No","Yes","Not applicable","Not applicable",107,2023
"NSW","Inner Regional Australia","26-39","No","Secondary Confirmatory (Stage 2)","No","Yes","Not applicable","Not applicable",3,2023
"NSW","Inner Regional Australia","26-39","No","Secondary Confirmatory (Stage 2)","Yes","No","Not applicable","Not applicable",127,2023
"NSW","Inner Regional Australia","26-39","No","Secondary Confirmatory (Stage 2)","Yes","No","Not applicable","Not applicable",2,2023
"NSW","Inner Regional Australia","26-39","No","Secondary Confirmatory (Stage 2)","Yes","Yes","Not applicable","Not applicable",74,2023
"NSW","Inner Regional Australia","26-39","No","Secondary Confirmatory (Stage 2)","Yes","Yes","Not applicable","Not applicable",2,2023
"NSW","Inner Regional Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Not applicable",2,2023
"NSW","Inner Regional Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Not applicable",11,2023
"NSW","Inner Regional Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",117,2023
"NSW","Inner Regional Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","Yes","Not applicable",1,2023
"NSW","Inner Regional Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",3,2023
"NSW","Inner Regional Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",121,2023
"NSW","Inner Regional Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",4,2023
"NSW","Inner Regional Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","Yes","Not applicable",1,2023
"NSW","Inner Regional Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Not applicable",94,2023
"NSW","Inner Regional Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","Yes","Not applicable",1,2023
"NSW","Inner Regional Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Not applicable",3,2023
"NSW","Inner Regional Australia","40-64","No","Indicator (Stage 1)","No","No","Not applicable","Not applicable",3,2023
"NSW","Inner Regional Australia","40-64","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",105,2023
"NSW","Inner Regional Australia","40-64","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",121,2023
"NSW","Inner Regional Australia","40-64","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",2,2023
"NSW","Inner Regional Australia","40-64","No","Indicator (Stage 1)","Yes","Yes","Not applicable","Not applicable",43,2023
"NSW","Inner Regional Australia","40-64","No","Indicator (Stage 1)","Yes","Yes","Not applicable","Not applicable",3,2023
"NSW","Inner Regional Australia","40-64","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",33,2023
"NSW","Inner Regional Australia","40-64","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",4,2023
"NSW","Inner Regional Australia","40-64","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",2,2023
"NSW","Inner Regional Australia","40-64","No","Secondary Confirmatory (Stage 2)","No","Yes","Not applicable","Not applicable",91,2023
"NSW","Inner Regional Australia","40-64","No","Secondary Confirmatory (Stage 2)","No","Yes","Not applicable","Not applicable",1,2023
"NSW","Inner Regional Australia","40-64","No","Secondary Confirmatory (Stage 2)","Yes","No","Not applicable","Not applicable",90,2023
"NSW","Inner Regional Australia","40-64","No","Secondary Confirmatory (Stage 2)","Yes","Yes","Not applicable","Not applicable",54,2023
"NSW","Inner Regional Australia","40-64","No","Secondary Confirmatory (Stage 2)","Yes","Yes","Not applicable","Not applicable",2,2023
"NSW","Inner Regional Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Not applicable",9,2023
"NSW","Inner Regional Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Not applicable",2,2023
"NSW","Inner Regional Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",98,2023
"NSW","Inner Regional Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","Yes","Not applicable",1,2023
"NSW","Inner Regional Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","Yes","Not applicable",1,2023
"NSW","Inner Regional Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",88,2023
"NSW","Inner Regional Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",2,2023
"NSW","Inner Regional Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Not applicable",72,2023
"NSW","Inner Regional Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Not applicable",4,2023
"NSW","Inner Regional Australia","65 and over","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",6,2023
"NSW","Inner Regional Australia","65 and over","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",4,2023
"NSW","Inner Regional Australia","65 and over","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",1,2023
"NSW","Inner Regional Australia","65 and over","No","Secondary Confirmatory (Stage 2)","No","Yes","Not applicable","Not applicable",5,2023
"NSW","Inner Regional Australia","65 and over","No","Secondary Confirmatory (Stage 2)","Yes","No","Not applicable","Not applicable",4,2023
"NSW","Inner Regional Australia","65 and over","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",6,2023
"NSW","Inner Regional Australia","65 and over","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",3,2023
"NSW","Inner Regional Australia","65 and over","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Not applicable",1,2023
"NSW","Major Cities of Australia","17-25","No","Indicator (Stage 1)","No","No","Not applicable","Not applicable",9,2023
"NSW","Major Cities of Australia","17-25","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",149,2023
"NSW","Major Cities of Australia","17-25","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",8,2023
"NSW","Major Cities of Australia","17-25","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",26,2023
"NSW","Major Cities of Australia","17-25","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",4,2023
"NSW","Major Cities of Australia","17-25","No","Indicator (Stage 1)","Yes","Yes","Not applicable","Not applicable",5,2023
"NSW","Major Cities of Australia","17-25","No","Indicator (Stage 1)","Yes","Yes","Not applicable","Not applicable",2,2023
"NSW","Major Cities of Australia","17-25","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",39,2023
"NSW","Major Cities of Australia","17-25","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",1,2023
"NSW","Major Cities of Australia","17-25","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",8,2023
"NSW","Major Cities of Australia","17-25","No","Secondary Confirmatory (Stage 2)","No","Yes","Not applicable","Not applicable",115,2023
"NSW","Major Cities of Australia","17-25","No","Secondary Confirmatory (Stage 2)","No","Yes","Not applicable","Not applicable",8,2023
"NSW","Major Cities of Australia","17-25","No","Secondary Confirmatory (Stage 2)","Yes","No","Not applicable","Not applicable",22,2023
"NSW","Major Cities of Australia","17-25","No","Secondary Confirmatory (Stage 2)","Yes","No","Not applicable","Not applicable",1,2023
"NSW","Major Cities of Australia","17-25","No","Secondary Confirmatory (Stage 2)","Yes","Yes","Not applicable","Not applicable",7,2023
"NSW","Major Cities of Australia","17-25","No","Secondary Confirmatory (Stage 2)","Yes","Yes","Not applicable","Not applicable",2,2023
"NSW","Major Cities of Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Not applicable",1,2023
"NSW","Major Cities of Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Not applicable",3,2023
"NSW","Major Cities of Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","No","Yes","Not applicable",1,2023
"NSW","Major Cities of Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Not applicable",7,2023
"NSW","Major Cities of Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","No","Yes","Not applicable",1,2023
"NSW","Major Cities of Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",140,2023
"NSW","Major Cities of Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","Yes","Not applicable",2,2023
"NSW","Major Cities of Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",12,2023
"NSW","Major Cities of Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","Yes","Not applicable",2,2023
"NSW","Major Cities of Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",19,2023
"NSW","Major Cities of Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",2,2023
"NSW","Major Cities of Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","Yes","Not applicable",1,2023
"NSW","Major Cities of Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Not applicable",10,2023
"NSW","Major Cities of Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","Yes","Not applicable",2,2023
"NSW","Major Cities of Australia","26-39","No","Indicator (Stage 1)","No","No","Not applicable","Not applicable",31,2023
"NSW","Major Cities of Australia","26-39","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",131,2023
"NSW","Major Cities of Australia","26-39","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",14,2023
"NSW","Major Cities of Australia","26-39","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",195,2023
"NSW","Major Cities of Australia","26-39","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",12,2023
"NSW","Major Cities of Australia","26-39","No","Indicator (Stage 1)","Yes","Yes","Not applicable","Not applicable",31,2023
"NSW","Major Cities of Australia","26-39","No","Indicator (Stage 1)","Yes","Yes","Not applicable","Not applicable",2,2023
"NSW","Major Cities of Australia","26-39","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",38,2023
"NSW","Major Cities of Australia","26-39","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",1,2023
"NSW","Major Cities of Australia","26-39","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",26,2023
"NSW","Major Cities of Australia","26-39","No","Secondary Confirmatory (Stage 2)","No","Yes","Not applicable","Not applicable",113,2023
"NSW","Major Cities of Australia","26-39","No","Secondary Confirmatory (Stage 2)","No","Yes","Not applicable","Not applicable",8,2023
"NSW","Major Cities of Australia","26-39","No","Secondary Confirmatory (Stage 2)","Yes","No","Not applicable","Not applicable",171,2023
"NSW","Major Cities of Australia","26-39","No","Secondary Confirmatory (Stage 2)","Yes","No","Not applicable","Not applicable",10,2023
"NSW","Major Cities of Australia","26-39","No","Secondary Confirmatory (Stage 2)","Yes","Yes","Not applicable","Not applicable",48,2023
"NSW","Major Cities of Australia","26-39","No","Secondary Confirmatory (Stage 2)","Yes","Yes","Not applicable","Not applicable",1,2023
"NSW","Major Cities of Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Not applicable",5,2023
"NSW","Major Cities of Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Not applicable",20,2023
"NSW","Major Cities of Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","No","No","Yes","Not applicable",3,2023
"NSW","Major Cities of Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",116,2023
"NSW","Major Cities of Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","Yes","Not applicable",3,2023
"NSW","Major Cities of Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",19,2023
"NSW","Major Cities of Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",160,2023
"NSW","Major Cities of Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",13,2023
"NSW","Major Cities of Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Not applicable",72,2023
"NSW","Major Cities of Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Not applicable",5,2023
"NSW","Major Cities of Australia","40-64","No","Indicator (Stage 1)","No","No","Not applicable","Not applicable",19,2023
"NSW","Major Cities of Australia","40-64","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",79,2023
"NSW","Major Cities of Australia","40-64","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",4,2023
"NSW","Major Cities of Australia","40-64","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",196,2023
"NSW","Major Cities of Australia","40-64","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",8,2023
"NSW","Major Cities of Australia","40-64","No","Indicator (Stage 1)","Yes","Yes","Not applicable","Not applicable",47,2023
"NSW","Major Cities of Australia","40-64","No","Indicator (Stage 1)","Yes","Yes","Not applicable","Not applicable",2,2023
"NSW","Major Cities of Australia","40-64","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",43,2023
"NSW","Major Cities of Australia","40-64","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",5,2023
"NSW","Major Cities of Australia","40-64","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",17,2023
"NSW","Major Cities of Australia","40-64","No","Secondary Confirmatory (Stage 2)","No","Yes","Not applicable","Not applicable",63,2023
"NSW","Major Cities of Australia","40-64","No","Secondary Confirmatory (Stage 2)","No","Yes","Not applicable","Not applicable",2,2023
"NSW","Major Cities of Australia","40-64","No","Secondary Confirmatory (Stage 2)","Yes","No","Not applicable","Not applicable",159,2023
"NSW","Major Cities of Australia","40-64","No","Secondary Confirmatory (Stage 2)","Yes","No","Not applicable","Not applicable",1,2023
"NSW","Major Cities of Australia","40-64","No","Secondary Confirmatory (Stage 2)","Yes","Yes","Not applicable","Not applicable",60,2023
"NSW","Major Cities of Australia","40-64","No","Secondary Confirmatory (Stage 2)","Yes","Yes","Not applicable","Not applicable",5,2023
"NSW","Major Cities of Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Not applicable",6,2023
"NSW","Major Cities of Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Not applicable",21,2023
"NSW","Major Cities of Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",70,2023
"NSW","Major Cities of Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",1,2023
"NSW","Major Cities of Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",162,2023
"NSW","Major Cities of Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","Yes","Not applicable",3,2023
"NSW","Major Cities of Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",2,2023
"NSW","Major Cities of Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Not applicable",84,2023
"NSW","Major Cities of Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","Yes","Not applicable",1,2023
"NSW","Major Cities of Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Not applicable",5,2023
"NSW","Major Cities of Australia","65 and over","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",4,2023
"NSW","Major Cities of Australia","65 and over","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",4,2023
"NSW","Major Cities of Australia","65 and over","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",1,2023
"NSW","Major Cities of Australia","65 and over","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",1,2023
"NSW","Major Cities of Australia","65 and over","No","Secondary Confirmatory (Stage 2)","No","Yes","Not applicable","Not applicable",5,2023
"NSW","Major Cities of Australia","65 and over","No","Secondary Confirmatory (Stage 2)","Yes","No","Not applicable","Not applicable",3,2023
"NSW","Major Cities of Australia","65 and over","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",5,2023
"NSW","Major Cities of Australia","65 and over","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",4,2023
"NSW","Outer Regional Australia","0-16","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",1,2023
"NSW","Outer Regional Australia","0-16","No","Secondary Confirmatory (Stage 2)","No","Yes","Not applicable","Not applicable",1,2023
"NSW","Outer Regional Australia","0-16","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",1,2023
"NSW","Outer Regional Australia","17-25","No","Indicator (Stage 1)","No","No","Not applicable","Not applicable",1,2023
"NSW","Outer Regional Australia","17-25","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",20,2023
"NSW","Outer Regional Australia","17-25","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",10,2023
"NSW","Outer Regional Australia","17-25","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",1,2023
"NSW","Outer Regional Australia","17-25","No","Indicator (Stage 1)","Yes","Yes","Not applicable","Not applicable",2,2023
"NSW","Outer Regional Australia","17-25","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",4,2023
"NSW","Outer Regional Australia","17-25","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",1,2023
"NSW","Outer Regional Australia","17-25","No","Secondary Confirmatory (Stage 2)","No","Yes","Not applicable","Not applicable",17,2023
"NSW","Outer Regional Australia","17-25","No","Secondary Confirmatory (Stage 2)","Yes","No","Not applicable","Not applicable",9,2023
"NSW","Outer Regional Australia","17-25","No","Secondary Confirmatory (Stage 2)","Yes","No","Not applicable","Not applicable",1,2023
"NSW","Outer Regional Australia","17-25","No","Secondary Confirmatory (Stage 2)","Yes","Yes","Not applicable","Not applicable",2,2023
"NSW","Outer Regional Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Not applicable",1,2023
"NSW","Outer Regional Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","No","Yes","Not applicable",1,2023
"NSW","Outer Regional Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",20,2023
"NSW","Outer Regional Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",7,2023
"NSW","Outer Regional Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","Yes","Not applicable",1,2023
